Date,Name,Year,Letterboxd URI
2022-07-18,Ante... Sundaraniki!,2022,https://boxd.it/vu0w
2022-07-18,Ms. Marvel,2022,https://boxd.it/ANCY
2022-07-18,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2
2022-07-18,Sarkaru Vaari Paata,2022,https://boxd.it/tvx8
2022-07-18,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2022-07-18,Crush,2022,https://boxd.it/wuHW
2022-07-18,Moon Knight,2022,https://boxd.it/zeDq
2022-07-18,Moonshot,2022,https://boxd.it/sQRG
2022-07-18,Cheaper by the Dozen,2022,https://boxd.it/pQeI
2022-07-18,Radhe Shyam,2022,https://boxd.it/p63u
2022-07-18,Bheemla Nayak,2022,https://boxd.it/uzR4
2022-07-18,DJ Tillu,2022,https://boxd.it/zkBU
2022-07-18,Fresh,2022,https://boxd.it/tCNi
2022-07-18,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2022-07-18,Most Eligible Bachelor,2021,https://boxd.it/qOVW
2022-07-18,Venom: Let There Be Carnage,2021,https://boxd.it/llco
2022-07-18,No Time to Die,2021,https://boxd.it/cPX2
2022-07-18,Last Night in Soho,2021,https://boxd.it/lbJC
2022-07-18,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2022-07-18,Free Guy,2021,https://boxd.it/k8dm
2022-07-18,Luca,2021,https://boxd.it/ipjC
2022-07-18,In the Heights,2021,https://boxd.it/gLhu
2022-07-18,Cruella,2021,https://boxd.it/bbKg
2022-07-18,Vakeel Saab,2021,https://boxd.it/p7Ka
2022-07-18,Raya and the Last Dragon,2021,https://boxd.it/jbkI
2022-07-18,Moxie,2021,https://boxd.it/lsQK
2022-07-18,Enola Holmes,2020,https://boxd.it/hX2o
2022-07-18,Bheeshma,2020,https://boxd.it/p8Qy
2022-07-18,Ala Vaikunthapurramuloo,2020,https://boxd.it/ngUk
2022-07-18,Oh! Baby,2019,https://boxd.it/mpKG
2022-07-18,Spider-Man: Far from Home,2019,https://boxd.it/fegG
2022-07-18,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0
2022-07-18,Avengers: Endgame,2019,https://boxd.it/9vE4
2022-07-18,Jersey,2019,https://boxd.it/lQjU
2022-07-18,Shazam!,2019,https://boxd.it/8WBu
2022-07-18,Five Feet Apart,2019,https://boxd.it/jaAK
2022-07-18,Instant Family,2018,https://boxd.it/hHpQ
2022-07-18,Aravinda Sametha Veera Raghava,2018,https://boxd.it/jsaU
2022-07-18,Geetha Govindam,2018,https://boxd.it/jHkg
2022-07-18,Mahanati,2018,https://boxd.it/grck
2022-07-18,Avengers: Infinity War,2018,https://boxd.it/9vEe
2022-07-18,Bharat Ane Nenu,2018,https://boxd.it/i7KA
2022-07-18,Rangasthalam,2018,https://boxd.it/gu8K
2022-07-18,"Love, Simon",2018,https://boxd.it/g02s
2022-07-18,The Greatest Showman,2017,https://boxd.it/acjI
2022-07-18,Black Panther,2018,https://boxd.it/8MHs
2022-07-18,Coco,2017,https://boxd.it/bYJQ
2022-07-18,Thor: Ragnarok,2017,https://boxd.it/8MHi
2022-07-18,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2022-07-18,Dhruva,2016,https://boxd.it/etYQ
2022-07-18,Sarrainodu,2016,https://boxd.it/d1BC
2022-07-18,Inside Out,2015,https://boxd.it/4KHC
2022-07-18,Temper,2015,https://boxd.it/aC9a
2022-07-18,Manam,2014,https://boxd.it/7rrw
2022-07-29,Lightyear,2022,https://boxd.it/qV1G
2022-07-29,Major,2022,https://boxd.it/mkWM
2022-07-30,Honor Society,2022,https://boxd.it/z1Bw
2022-08-17,The Terminal,2004,https://boxd.it/2a2O
2022-08-17,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A
2022-09-17,Do Revenge,2022,https://boxd.it/sFiA
2022-10-08,Bao,2018,https://boxd.it/iEl4
2023-03-08,Missing,2023,https://boxd.it/sS1W
2023-03-26,Vaathi,2023,https://boxd.it/yBN2
2023-04-07,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2023-06-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-13,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8
2023-07-22,Oppenheimer,2023,https://boxd.it/wUow
2023-07-22,Samajavaragamana,2023,https://boxd.it/D0xG
2023-12-20,K.G.F: Chapter 2,2022,https://boxd.it/lCgM
2023-12-20,K.G.F: Chapter 1,2018,https://boxd.it/kGf2
2023-12-20,Jigarthanda DoubleX,2023,https://boxd.it/C4xI
