Date,Name,Year,Letterboxd URI,Rating,Language,Genres
6/30/2022,Knives Out,2019,https://boxd.it/jWEA,3,English,"Mystery, Comedy, Crime"
6/30/2022,The Batman,2022,https://boxd.it/eDGs,2,English,"Crime, Mystery, Thriller"
6/30/2022,Inception,2010,https://boxd.it/1skk,4,English,"Action, Adventure, Science Fiction"
6/30/2022,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5,English,"Action, Adventure, Science Fiction"
6/30/2022,Dune,2021,https://boxd.it/fA7G,1,English,"Science Fiction, Adventure"
6/30/2022,Avengers: Infinity War,2018,https://boxd.it/9vEe,5,English,"Action, Science Fiction, Adventure"
6/30/2022,Black Panther,2018,https://boxd.it/8MHs,4,English,"Adventure, Science Fiction, Action"
6/30/2022,The Social Network,2010,https://boxd.it/17ue,2,English,Drama
6/30/2022,Forrest Gump,1994,https://boxd.it/728,4,English,"Drama, Comedy, Romance"
6/30/2022,Don't Look Up,2021,https://boxd.it/o0Hc,3,English,"Science Fiction, Comedy, Drama"
6/30/2022,Spider-Man: Homecoming,2017,https://boxd.it/aboM,5,English,"Action, Drama, Adventure, Science Fiction"
6/30/2022,Thor: Ragnarok,2017,https://boxd.it/8MHi,5,English,"Adventure, Action, Science Fiction"
6/30/2022,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,1,English,"Science Fiction, Action, Adventure"
6/30/2022,Soul,2020,https://boxd.it/ioLA,4,English,"Family, Drama, Animation, Comedy, Fantasy"
6/30/2022,Coco,2017,https://boxd.it/bYJQ,5,English,"Adventure, Animation, Comedy, Fantasy, Music, Family"
6/30/2022,Spider-Man: Far from Home,2019,https://boxd.it/fegG,4,English,"Adventure, Science Fiction, Action"
6/30/2022,The Avengers,2012,https://boxd.it/1xFW,4,English,"Science Fiction, Adventure, Action"
6/30/2022,Deadpool,2016,https://boxd.it/9fOC,3,English,"Action, Comedy, Adventure"
6/30/2022,Inside Out,2015,https://boxd.it/4KHC,5,English,"Animation, Adventure, Comedy, Family, Drama"
6/30/2022,Ratatouille,2007,https://boxd.it/27ww,4,English,"Animation, Family, Comedy, Fantasy"
