Date,Name,Year,Letterboxd URI
2022-06-30,Spider-Man: Beyond the Spider-Verse,,https://boxd.it/ykgU
2022-07-12,White Bird,2023,https://boxd.it/tjPE
2022-07-18,Fantastic Four,2025,https://boxd.it/mP6C
2022-07-18,Untitled Shang-Chi Sequel,,https://boxd.it/ymuY
2022-07-18,Blade,2025,https://boxd.it/mOS6
2022-07-18,Deadpool 3,2024,https://boxd.it/jq8s
2022-07-25,Captain America: Brave New World,2025,https://boxd.it/uYDm
2022-07-25,Thunderbolts,2025,https://boxd.it/BfbQ
2022-07-25,Avengers: The Kang Dynasty,2026,https://boxd.it/BVqy
2022-07-25,Avengers: Secret Wars,2027,https://boxd.it/BVqI
2022-07-26,Get Out,2017,https://boxd.it/eOCm
2022-08-08,Palm Springs,2020,https://boxd.it/lCXQ
2022-08-08,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2022-08-15,Yesterday,2019,https://boxd.it/iF7M
2022-08-17,Dunkirk,2017,https://boxd.it/d0Y6
2022-08-20,Stuber,2019,https://boxd.it/izHE
2022-08-23,My Year of Rest and Relaxation,,https://boxd.it/oIGW
2022-08-23,Bones and All,2022,https://boxd.it/tLd4
2022-08-23,Asteroid City,2023,https://boxd.it/s3ds
2022-08-23,Wonka,2023,https://boxd.it/tCQm
2022-09-08,Red One,,https://boxd.it/vTBM
2022-11-06,Acquainted,2018,https://boxd.it/lQYI
2022-12-26,Babylon,2022,https://boxd.it/mM02
2023-01-06,Columbus,2017,https://boxd.it/eCuA
2023-02-09,(500) Days of Summer,2009,https://boxd.it/1EmM
2023-04-22,Penguins of Madagascar,2014,https://boxd.it/89tc
2023-04-23,Stuck in Love,2012,https://boxd.it/3L08
2023-07-08,Past Lives,2023,https://boxd.it/oNB8
2023-07-08,Salaar: Part 1 – Ceasefire,2023,https://boxd.it/sYOU
2023-07-08,Guntur Kaaram,2024,https://boxd.it/wLww
2023-07-08,AA22,,https://boxd.it/FoCa
2023-07-08,NTR Neel,,https://boxd.it/nZhs
2023-07-08,Devara: Part 1,2024,https://boxd.it/uzQU
2023-07-08,Game Changer,,https://boxd.it/uzQg
2023-07-08,Ram Charan 16,,https://boxd.it/E0G6
2023-07-08,AA23,,https://boxd.it/FnNm
2023-07-11,Untitled Community Movie,,https://boxd.it/Co9w
2023-07-13,Chain Kulii Ki Main Kulii,2007,https://boxd.it/gzLW
2023-07-22,Kalki 2898 A.D.,2024,https://boxd.it/uaUM
2023-07-25,Hi Nanna,2023,https://boxd.it/Eqsa
2023-07-25,(Tillu)²,2023,https://boxd.it/DkCQ
2023-09-25,They Call Him OG,,https://boxd.it/EQYc
2023-11-26,Chinnadana Nee Kosam,2014,https://boxd.it/9RNW
2023-11-26,Endukante Premanta,2012,https://boxd.it/4Q18
2023-11-26,Balu,2005,https://boxd.it/3QgA
2023-11-26,Happy,2006,https://boxd.it/2PBU
2023-11-26,Mersal,2017,https://boxd.it/gicK
2023-11-26,Munna,2007,https://boxd.it/5ZMY
2023-11-26,Nannaku Prematho...,2016,https://boxd.it/cDnG
2023-11-26,Temper,2015,https://boxd.it/aC9a
2023-11-26,Brindavanam,2010,https://boxd.it/nLo
2023-11-26,Adhurs,2010,https://boxd.it/15sq
2023-11-26,Chintakayala Ravi,2008,https://boxd.it/1B7O
2023-11-26,Ishq,2012,https://boxd.it/3hQo
2023-11-26,Maestro,2021,https://boxd.it/uzRy
2023-11-26,Gunde Jaari Gallanthayyinde,2013,https://boxd.it/5xDu
2023-11-26,Varudu Kaavalenu,2021,https://boxd.it/uaFs
2023-11-26,Yevade Subramanyam,2015,https://boxd.it/aXTy
2023-12-03,Keedaa Cola,2023,https://boxd.it/BzHM
2023-12-03,Saindhav,2024,https://boxd.it/FdRo
2023-12-03,Family Star,,https://boxd.it/H90k
2023-12-03,Madame Web,2024,https://boxd.it/nwD0
2023-12-05,May December,2023,https://boxd.it/vEE2
2023-12-18,Kanam,2022,https://boxd.it/xxZG
2023-12-20,K.G.F: Chapter 3,,https://boxd.it/Am1Q
2023-12-20,RDX: Robert Dony Xavier,2023,https://boxd.it/BHtS
